TipLabel,max_distance,max_brightness,median_total_distance_from_brown,median_total_brightness,combined_color
Platysteira_laticincta,6014.125577292548,231.1608632,23128.333014011838,373.592867,0.7561348328683454
Platysteira_peltata,6175.66996264123,237.91665579999997,24519.51843496252,389.24633719999997,0.7839606484314326
Platysteira_tonsa,6041.688738794126,233.79051420000002,22662.227240561748,448.3025233,0.7611267445955924
Plectorhyncha_lanceolata,6502.792808780781,250.74070859999998,33217.55083040859,1237.2842888,0.8401655783752369
Plectrophenax_hyperboreus,6624.37571264959,253.7052098,36051.730754330485,1389.7174264999999,0.8607575537643689
Plectrophenax_nivalis,6595.442676457633,252.85432359999996,33078.79256838963,1266.1681872999998,0.8558332456541503
Plocepasser_donaldsoni,6615.342827101136,253.7227424,28085.210747130543,1109.6510745,0.859267005439124
Plocepasser_mahali,6645.476406153126,254.925,26594.09319451663,979.8814262999999,0.864447898423439
Plocepasser_rufoscapulatus,6582.639627502972,253.50972819999998,31034.910239858084,1072.2270959,0.8538248216853899
Plocepasser_superciliosus,6440.439181725142,249.1487914,19347.42938877856,926.3139762999999,0.829593177667014
Ploceus_albinucha,4755.334288732754,168.624316,22731.064571682655,335.3142608,0.5376738359498733
Ploceus_alienus,5481.856473395594,190.3703682,21307.054894238303,331.40728609999996,0.6613883453724994
Ploceus_angolensis,6614.5952114627125,253.68231299999997,27160.75153908536,964.0642453999999,0.8591367144545163
Ploceus_aurantius,5818.268200894248,217.8133136,26488.511663199948,1009.907735,0.7215460537198584
Ploceus_aureonucha,5798.700346041206,197.88517819999998,20395.478596158122,617.6167002,0.7150160063149308
Ploceus_badius,6506.233562662036,250.955967,23471.96332565892,620.336282,0.8407700431160026
Ploceus_baglafecht,6084.103353338222,205.8835958,29322.055504825432,1046.5123879,0.7635253664037882
Ploceus_bannermani,6093.973642637992,204.928141,31467.240427830875,1013.8403708,0.7649992955676759
Ploceus_batesi,6035.434275346218,203.8582696,22659.837643789324,818.6699733,0.7551438355086906
Ploceus_benghalensis,5562.413288702745,218.90588739999998,24178.222722606348,819.8779013,0.6794250653352569
Ploceus_bertrandi,6063.553060508122,203.92853079999998,23943.028213941398,779.8236407999999,0.7598044556846527
Ploceus_bicolor,5146.719327186835,181.45151799999996,22018.534609873284,672.0862113999999,0.6045040401024031
Ploceus_bojeri,6225.1567791437665,209.5017774,26622.04772619689,975.3309698,0.7874445655035629
Ploceus_burnieri,6047.352874517455,225.3207636,26509.208866755293,926.8716869,0.7606628798329353
Ploceus_capensis,6031.276268611371,203.79510979999998,21272.54346724628,861.6526034,0.7544459313062628
Ploceus_castaneiceps,6495.342457217886,222.8614664,27429.80088709505,999.3917081999999,0.8343243797981034
Ploceus_castanops,6338.8857166726575,223.4086202,23397.87144543108,924.8742015,0.8085471556848127
Ploceus_cucullatus,5616.619205353936,218.0991044,20693.26314419751,649.7157765999999,0.6882537811590737
Ploceus_dichrocephalus,6480.234692420052,251.83957940000002,21340.364610618315,642.9874537,0.8366176260416515
Ploceus_dorsomaculatus,5914.530223973504,200.77706999999998,30325.369123689692,946.2516436,0.7346448035518627
Ploceus_flavipes,3910.082765595809,31.497315,22361.130081945652,158.9760733,0.37525283343549876
Ploceus_galbula,5832.683085950845,235.08630119999998,25858.025209345225,1048.2398574,0.7267851503796251
Ploceus_golandi,5821.550025021948,198.88409199999998,26891.74212581328,626.581295,0.7189590000315416
Ploceus_grandis,5865.381056121657,241.9044876,21390.520622444164,625.9930672,0.7333185319713947
Ploceus_heuglini,5969.457146215196,241.2218398,26655.60871221134,918.9144340999999,0.7504130287851176
Ploceus_hypoxanthus,5475.376625592791,207.09678379999997,26507.069457881233,976.7716520999999,0.6630824559144766
Ploceus_insignis,6184.351817701631,207.51742299999998,24766.924333096926,742.0017028,0.7803700179587767
Ploceus_intermedius,5865.410575755212,228.8118116,24672.399160695928,787.8092802,0.7311587423374509
Ploceus_jacksoni,5172.926202741,215.2451396,23236.27867869549,570.34995,0.6144241886599076
Ploceus_katangae,5843.920938772359,234.6010666,26083.707960319676,809.9711773,0.7285629284847875
Ploceus_luteolus,5789.261077690936,230.54069779999998,25745.37989648445,808.9884073,0.718854452199036
Ploceus_manyar,5997.365697914485,202.98854219999998,20485.558787695103,756.751221,0.7487059927102269
Ploceus_megarhynchus,5777.383369227733,233.3805604,29351.840278053765,1120.3680635,0.7173601850203418
Ploceus_melanocephalus,5468.056273595941,224.4980642,23272.208096817412,721.6218942,0.6647491805601051
Ploceus_melanogaster,5598.445191921927,195.02235099999996,25029.234267589305,766.8091248999999,0.6814336087522838
Ploceus_nelicourvi,6381.932873706497,212.6790528,28020.79688499449,866.5829064,0.8138903662479589
Ploceus_nicolli,3225.6319241020456,144.46528999999998,12912.201781301195,601.1164263999999,0.280767034107534
Ploceus_nigerrimus,4329.948083323956,179.0317524,20257.942776005984,507.33565139999996,0.46906355383503917
Ploceus_nigricollis,6215.0589863942105,207.5337794,24741.549824085392,843.1083635,0.7854496747547111
Ploceus_nigrimentus,5728.756239564759,196.71196740000002,24133.196501163715,749.6380383,0.7032578645351913
Ploceus_ocularis,6371.911514477067,211.3089108,28070.79852655047,921.8909412999999,0.8120069587788743
Ploceus_olivaceiceps,5773.669101440783,197.4696794,20399.981036956087,855.8827554,0.7108087832616238
Ploceus_pelzelni,6153.534734719369,206.92939199999998,29329.86996166278,904.2745331,0.7751776710459016
Ploceus_philippinus,5762.743036458216,211.2122618,22004.060708971003,967.1993808,0.7112744505897451
Ploceus_preussi,6109.545152252024,205.935482,25263.480924348965,846.0565643,0.7677403505389587
Ploceus_princeps,6317.779858080291,210.8165692,27764.484424604634,985.236603,0.8029757306952047
Ploceus_reichardi,5526.971292736941,222.64663279999996,20847.930077672634,747.7105247,0.6741837568463718
Ploceus_rubiginosus,6341.140301886973,246.10282519999998,18987.292280471745,740.8633004,0.8126720499272738
Ploceus_ruweti,5633.883309229103,225.4752696,23940.14033809641,671.5530894,0.692327666231967
Ploceus_sakalava,6265.645509895328,244.0728404,27757.504183892222,1017.3493564999999,0.7998545344209529
Ploceus_sanctithomae,5955.78137623216,240.4611492,19441.47446599028,759.5254055999999,0.7480261846684714
Ploceus_spekei,5286.836611986145,204.4952066,23313.45362174367,880.2111817,0.6314801681626322
Ploceus_spekeoides,5702.269718703247,220.88266959999999,24893.342179383202,857.9868154999999,0.7028749799551618
Ploceus_subaureus,6113.980570988152,206.4196728,30876.911576383027,1100.7343829,0.7685537314234189
Ploceus_subpersonatus,5447.102077592154,212.0313386,24779.328930492862,856.3608131999999,0.6592235512242945
Ploceus_superciliosus,5342.385209438355,187.1890908,17944.12010375843,577.0905066,0.637802967425825
Ploceus_taeniopterus,6010.378566179078,230.924899,24986.07274288405,929.3241011999999,0.7554763098779612
Ploceus_temporalis,6347.185235259094,228.22839519999997,26260.1631532344,1008.8963664,0.8107162267345503
Ploceus_tricolor,5428.432210078154,190.645501,22523.62927221979,307.17162179999997,0.6526009636766364
Ploceus_velatus,5931.9054142627,229.4015664,26093.442631601007,849.3109626999999,0.7422501359607426
Ploceus_vitellinus,5247.1816760340935,218.2123762,23053.53081053718,801.4215638999999,0.6271917621049113
Ploceus_weynsi,5507.598818737155,191.440808,23126.041609601234,549.5454642,0.6658214221712018
Ploceus_xanthops,6314.7254760769865,209.96905579999998,28939.239457322496,1061.5790151,0.80233061300631
Ploceus_xanthopterus,5785.472966451818,204.65793099999996,24666.869702518517,958.2420533999999,0.7139488342135154
